,family,LinkerVersion,ImageVersion,InitializedDataSize,EntryPoint,MIMEType,TimeStamp,FileType,PEType,SubsystemVersion,UninitializedDataSize,OSVersion,md5,Subsystem,MachineType,CodeSize,FileTypeExtension
51,Teslacrypt,8.0,0.0,724992,0x1cc0,application/octet-stream,2008:04:13 20:14:55+01:00,Win32 EXE,PE32,4.0,0,4.0,aa6192caec3e025bb0943efa4ef28344,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
52,Teslacrypt,8.0,0.0,729088,0x1bb0,application/octet-stream,2008:04:13 20:14:55+01:00,Win32 EXE,PE32,4.0,0,4.0,a28437b921610199fd8aa95c473e0d59,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
53,Teslacrypt,8.0,0.0,770048,0x1a30,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,6834dd22796b7600deaf0b5d1927ae92,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
54,Teslacrypt,8.0,0.0,770048,0x1aa0,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,df2c0333c22768322ced8e55532dc8e8,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
55,Teslacrypt,8.0,0.0,770048,0x1c80,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,fc2e7389ce9140a4d096858c23e854e6,Windows GUI,"Intel 386 or later, and compatibles",16384,exe
56,Teslacrypt,8.0,0.0,770048,0x1a00,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,f417f72aa747d2b41a6c9467a027786e,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
57,Teslacrypt,8.0,0.0,770048,0x1bd0,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,7a6029fb9d2580edbb6007b098b519ec,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
58,Teslacrypt,8.0,0.0,770048,0x1a20,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,c1de2311ae763f305144be54402a13ed,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
59,Teslacrypt,8.0,0.0,770048,0x1bf0,application/octet-stream,2004:02:15 19:17:39+01:00,Win32 EXE,PE32,4.0,0,4.0,725009eaa8a92d1d0cc46d70154939a9,Windows GUI,"Intel 386 or later, and compatibles",12288,exe
60,xtreme,2.25,0.0,9728,0x88f4,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,00047fb702c1bd3b20d2254650df3768,Windows GUI,"Intel 386 or later, and compatibles",34304,exe
61,xtreme,2.25,0.0,14336,0xd0f4,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,012ef682f57c5b242736fdbf533216ce,Windows GUI,"Intel 386 or later, and compatibles",51712,exe
62,xtreme,2.25,0.0,13824,0xc664,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,03afa299cdd5f04260c3c802a08e151d,Windows GUI,"Intel 386 or later, and compatibles",48640,exe
63,xtreme,2.25,0.0,14336,0xd0f4,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,03ccd72bae83487eea6585340c1f54ad,Windows GUI,"Intel 386 or later, and compatibles",51712,exe
64,xtreme,2.25,0.0,10240,0x8ad4,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,053c17c285aafa964535325a00eb934b,Windows GUI,"Intel 386 or later, and compatibles",34816,exe
65,xtreme,2.25,0.0,14336,0xd0f4,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,053ea0f162ef3f20bc2c02342f33b9e2,Windows GUI,"Intel 386 or later, and compatibles",51712,exe
66,xtreme,2.25,0.0,14336,0xd0f4,application/octet-stream,1992:06:19 23:22:17+01:00,Win32 EXE,PE32,4.0,0,4.0,055ea57c27cf7b47b41135ea6dc1443a,Windows GUI,"Intel 386 or later, and compatibles",51712,exe
