,fileversion,Comments,Template,LanguageCode,InternalName,SharedDoc,Company,ZipBitFlag,Originalfilename,Legalcopyright,Subsystem,TimeStamp,PEType,Legaltrademarks,FileAccessDate,productversion,OSVersion,LegalCopyright,TotalEditTime,Creator,legaltrademarks,productname,ProductVersionNumber,Warning,Application,ZipFileName,CompanyWebsite,DirectShow,ZipCRC,CharacterSet,comments,CreateDate,AppVersion,UninitializedDataSize,FileOS,md5,legalcopyright,LegalTrademarks,ProductName,FileTypeExtension,AssemblyVersion,ProductVersion,family,LinksUpToDate,LinkerVersion,filedescription,ImageVersion,FileVersionNumber,FileFlagsMask,ModifyDate,FullVersion,companyname,InitializedDataSize,Characters,ScaleCrop,OriginalFileName,Words,Productname,OLESelfRegister,CompanyName,SubsystemVersion,DocSecurity,ZipModifyDate,internalname,HeadingPairs,ZipCompression,CodeSize,MIMEType,HyperlinksChanged,LastModifiedBy,ZipRequiredVersion,ImageFileCharacteristics,Pages,RevisionNumber,FileVersion,FileType,Filedescription,Lines,ZipUncompressedSize,CharactersWithSpaces,FileDescription,FileCreateDate,originalfilename,ZipCompressedSize,MachineType,FileSubtype,EntryPoint,ObjectFileType,Paragraphs
30,,,,,,,,,,,Windows GUI,2016:01:20 17:42:46+01:00,PE32,,,,4.2,,,,,,,,,,,,,,,,,0,,54fde8486cc14f738f71cc14d1e696ac,,,,exe,,,CTB-locker,,8.0,,0.0,,,,,,753664,,,,,,,,4.0,,,,,,28672,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x7396,,
31,,,,,,,,,,,Windows GUI,2016:02:11 14:28:44+00:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,bcfd0793e4f8839cb1cfbc9baafdce6a,,,,exe,,,CTB-locker,,5.5,,0.0,,,,,,57344,,,,,,,,4.0,,,,,,32768,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x76b2,,
32,,,,,,,,,,,Windows GUI,2016:02:01 17:16:09+01:00,PE32,,,,3.5,,,,,,,,,,,,,,,,,0,,2004713813fc19550489da11070ed5de,,,,exe,,,CTB-locker,,5.5,,0.0,,,,,,40960,,,,,,,,4.0,,,,,,49152,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xa016,,
33,,,,German,Tif,,,,,,Windows GUI,2016:01:28 18:52:19+01:00,PE32,,,,4.0,Copyright ? 2016,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Windows NT 32-bit,ff7d5a564a87d6802b84c4181aa1b374,,,Tif,exe,,"1, 0, 0, 1",CTB-locker,,5.0,,0.0,1.0.0.1,0x003f,,,,753664,,,Tif.exe,,,,,4.0,,,,,,12288,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Tif,,,,"Intel 386 or later, and compatibles",0,0x2ff0,Executable application,
34,,,,,,,,,,,Windows GUI,2016:01:20 17:42:46+01:00,PE32,,,,4.2,,,,,,,,,,,,,,,,,0,,a2683c2bd2908a866823ebbfbfa53739,,,,exe,,,CTB-locker,,8.0,,0.0,,,,,,753664,,,,,,,,4.0,,,,,,28672,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x7396,,
35,,,,,,,,,,,Windows GUI,2016:02:04 17:11:25+01:00,PE32,,,,5.0,,,,,,,Error processing PE data dictionary,,,,,,,,,,0,,cc408fae00a5cc333e60df1d80d76785,,,,exe,,,CTB-locker,,7.0,,0.0,,,,,,757760,,,,,,,,4.4,,,,,,61440,application/octet-stream,,,,"Executable, No line numbers, No symbols, 32-bit",,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xccce,,
36,,,,,,,,,,,Windows GUI,2016:01:14 20:04:34+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,3eee2f067500bd40fd6ad7e073ef0395,,,,exe,,,CTB-locker,,7.0,,0.0,,,,,,753664,,,,,,,,4.0,,,,,,268447744,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x2a7c,,
37,,,,,,,,,,,Windows GUI,2016:01:19 17:53:25+01:00,PE32,,,,5.5,,,,,,,Error processing PE data dictionary,,,,,,,,,,0,,8b19b6588b96f8ff0a64dc9beb531fd7,,,,exe,,,CTB-locker,,6.0,,0.0,,,,,,761856,,,,,,,,4.0,,,,,,49152,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xa148,,
38,,,,English (U.S.),Encrypt,,,,,,Windows GUI,2016:01:14 00:27:11+01:00,PE32,,,,4.0,,,,,,76.65.0.8759,,,,,,,Unicode,,,,0,Win32,d286b84a6d50b4b3e2c21e21ce8f8427,,,Encrypt,exe,,76.65.8759,CTB-locker,,6.0,,76.65,76.65.0.8759,0x0000,,,,9469952,,,Encrypt.exe,,,,Flash Game Flash and Java A very large collection of free,4.0,,,,,,77824,application/octet-stream,,,,,,,76.65.8759,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",0,0x15bc,Executable application,
39,,,,,,,,,,,Windows GUI,2016:01:19 17:53:25+01:00,PE32,,,,5.0,,,,,,,Error processing PE data dictionary,,,,,,,,,,0,,7aec61bbb9178868ed8b98f4f924ed84,,,,exe,,,CTB-locker,,6.0,,0.0,,,,,,761856,,,,,,,,4.0,,,,,,49152,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xa148,,
40,,,,German,Tif,,,,,,Windows GUI,2016:01:28 18:52:19+01:00,PE32,,,,4.0,Copyright ? 2016,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Windows NT 32-bit,0bcebedb7d37e6faca9ebe0234cda920,,,Tif,exe,,"1, 0, 0, 1",CTB-locker,,5.0,,0.0,1.0.0.1,0x003f,,,,753664,,,Tif.exe,,,,,4.0,,,,,,12288,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Tif,,,,"Intel 386 or later, and compatibles",0,0x2ff0,Executable application,
41,,,,,,,,,,,Windows GUI,2016:01:17 20:39:18+01:00,PE32,,,,4.4,,,,,,,,,,,,,,,,,0,,c0efb6d55a141faf7d9de077bdff992c,,,,exe,,,CTB-locker,,7.0,,0.0,,,,,,32768,,,,,,,,4.0,,,,,,268439552,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1b46,,
42,,,,German,Tif,,,,,,Windows GUI,2016:01:28 18:52:19+01:00,PE32,,,,4.0,Copyright ? 2016,,,,,1.0.0.1,,,,,,,Unicode,,,,0,Windows NT 32-bit,5859f85c79b316926de3e5e4c719d958,,,Tif,exe,,"1, 0, 0, 1",CTB-locker,,5.0,,0.0,1.0.0.1,0x003f,,,,753664,,,Tif.exe,,,,,4.0,,,,,,12288,application/octet-stream,,,,,,,"1, 0, 0, 1",Win32 EXE,,,,,Tif,,,,"Intel 386 or later, and compatibles",0,0x2ff0,Executable application,
43,,,,,,,,,,,Windows GUI,2016:01:14 20:04:34+01:00,PE32,,,,4.0,,,,,,,,,,,,,,,,,0,,a7474add15ec31f416735bdde6f008ee,,,,exe,,,CTB-locker,,7.0,,0.0,,,,,,753664,,,,,,,,4.0,,,,,,268447744,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x2a7c,,
44,,,,,,,,,,,Windows GUI,2016:01:12 20:07:19+01:00,PE32,,,,3.4,,,,,,,,,,,,,,,,,0,,3f1b5f5d4e2970c6906b4c7dd83d2a26,,,,exe,,,CTB-locker,,6.5,,0.0,,,,,,753664,,,,,,,,4.4,,,,,,8192,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x23f8,,
45,,,,,,,,,,,Windows GUI,2016:01:19 17:53:25+01:00,PE32,,,,5.0,,,,,,,Error processing PE data dictionary,,,,,,,,,,0,,188b5f83ca6ea33bf99af52e85203f42,,,,exe,,,CTB-locker,,6.0,,0.0,,,,,,761856,,,,,,,,4.0,,,,,,49152,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0xa148,,
46,,,,,,,,,,,Windows GUI,2015:12:17 16:38:04+01:00,PE32,,,,3.0,,,,,,,,,,,,,,,,,0,,495429bcd88402d8fe7e9213a17f1d00,,,,exe,,,CTB-locker,,6.0,,0.0,,,,,,40960,,,,,,,,4.0,,,,,,4096,application/octet-stream,,,,,,,,Win32 EXE,,,,,,,,,"Intel 386 or later, and compatibles",,0x1a76,,
