CVE, Earliest Recorded Date
CVE-2009-2727, 2009-06-17 00:00:00
CVE-2012-4284, 2012-08-12 00:00:00
CVE-2010-0688, 2010-02-27 00:00:00
CVE-2008-2158, 2008-05-27 00:00:00
CVE-2008-6938, 2008-11-13 00:00:00
CVE-2003-0264, 2003-05-07 00:00:00
CVE-2014-6352, 2014-10-21 00:00:00
CVE-2008-4388, 2009-01-15 00:00:00
CVE-2012-0507, 2012-02-14 00:00:00
CVE-2011-3167, 2011-11-01 00:00:00
CVE-2000-1089, 2000-12-04 00:00:00
CVE-2005-2668, 2005-08-22 00:00:00
CVE-2014-9390, 2014-12-18 00:00:00
CVE-2016-6277, 2016-12-06 00:00:00
CVE-2014-8423, 2014-11-25 00:00:00
CVE-2012-2926, 2017-08-13 14:14:51.389000
CVE-2014-2299, 2014-03-20 00:00:00
CVE-2006-4305, 2006-08-29 00:00:00
CVE-2014-6287, 2014-09-11 00:00:00
CVE-2016-7456, 2016-12-20 00:00:00
CVE-2013-0109, 2012-12-25 00:00:00
CVE-2012-5159, 2012-09-25 00:00:00
CVE-2007-2238, 2009-04-15 00:00:00
CVE-2007-5244, 2007-10-03 00:00:00
CVE-2013-3763, 2013-07-16 00:00:00
CVE-2007-5243, 2007-10-03 00:00:00
CVE-2012-1675, 2012-04-18 00:00:00
CVE-2010-4321, 2008-06-16 00:00:00
CVE-2010-4452, 2011-02-15 00:00:00
CVE-2013-4837, 2013-10-30 00:00:00
CVE-2008-5457, 2009-01-13 00:00:00
CVE-2009-4179, 2009-12-09 00:00:00
CVE-2015-1701, 2015-05-12 00:00:00
CVE-2010-2115, 2010-05-21 00:00:00
CVE-2010-1318, 2010-04-16 00:00:00
CVE-2010-4142, 2010-10-15 00:00:00
CVE-2005-3190, 2005-10-06 00:00:00
CVE-2009-0476, 2009-12-08 00:00:00
CVE-2006-3677, 2006-07-25 00:00:00
CVE-2013-3163, 2013-07-09 00:00:00
CVE-2012-1875, 2012-06-12 00:00:00
